grader,total_conversations,total_annotations,overall_avg_annotations_per_convo,overall_avg_snippet_length
Alejandro,4,379,94.75,83.41160949868073
Allen,8,297,37.125,238.25252525252526
Angela,12,841,70.08333333333333,143.487514863258
Ava,12,1020,85.0,595.2911764705882
Daisy,2,263,131.5,153.8593155893536
Dora,8,265,33.125,189.7056603773585
Grace,12,915,70.38461538461539,158.82185792349728
Hatoumata,5,599,119.8,114.58931552587646
Helin,11,559,50.81818181818182,253.7066189624329
Hiba,4,421,105.25,221.92399049881234
Jules,12,2422,201.83333333333334,209.17093311312965
Kelly,9,865,96.11111111111111,158.98728323699422
Lily,16,980,57.64705882352941,265.0244897959184
Meshack,3,221,73.66666666666667,483.88235294117646
Ray,14,1220,87.14285714285714,155.5155737704918
Syeda,7,494,70.57142857142857,247.80566801619435
Warda,1,31,31.0,811.8709677419355
